timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682193806164,6417,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-18,text,true,,9094,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b24597805,2352,0,0
1682193806164,2352,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-18,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b24597805/edytuj_klienta,2352,0,0
1682193808516,4065,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-18,text,true,,8762,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b24597805,4065,0,0
1682193811150,1584,(GET) Dodaj-usługę,200,OK,Thread Group 1-7,text,true,,4679,175,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788/dodaj_usluge,1584,0,0
1682193811329,1648,(GET) Dodaj-usługę,200,OK,Thread Group 1-10,text,true,,4679,175,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788/dodaj_usluge,1648,0,0
1682193806507,6487,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-19,text,true,,19673,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597821,2364,0,0
1682193806507,2364,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-19,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597821/edytuj_klienta,2364,0,0
1682193808872,4122,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-19,text,true,,19341,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597821,4122,0,0
1682193811386,1620,(GET) Dodaj-usługę,200,OK,Thread Group 1-8,text,true,,4679,175,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788/dodaj_usluge,1620,0,0
1682193811371,1639,(GET) Dodaj-usługę,200,OK,Thread Group 1-6,text,true,,4679,175,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788/dodaj_usluge,1639,0,0
